사용월,호선명,지하철역,유임승차인원,무임승차인원,유임하차인원,무임하차인원,승차인원,하차인원
202001,우이신설선,4.19민주묘지,48479,30790,45553,28591,79269,74144
202002,우이신설선,4.19민주묘지,39903,25455,38727,23601,65358,62328
202003,우이신설선,4.19민주묘지,36273,22435,34979,20481,58708,55460
202004,우이신설선,4.19민주묘지,39048,26386,37343,24067,65434,61410
202005,우이신설선,4.19민주묘지,42705,30811,41923,28112,73516,70035
202006,우이신설선,4.19민주묘지,44084,29534,43335,26863,73618,70198
202007,우이신설선,4.19민주묘지,46501,31358,45351,28504,77859,73855
202008,우이신설선,4.19민주묘지,38134,25599,37443,23839,63733,61282
202009,우이신설선,4.19민주묘지,37894,27137,37524,24332,65031,61856
202010,우이신설선,4.19민주묘지,45957,31491,44921,27925,77448,72846
202011,우이신설선,4.19민주묘지,47094,28318,46851,25855,75412,72706
202012,우이신설선,4.19민주묘지,38101,24248,37715,21876,62349,59591
202001,경원선,가능,139509,55668,130930,54258,195177,185188
202002,경원선,가능,120171,44118,113818,42895,164289,156713
202003,경원선,가능,107890,36151,102071,35662,144041,137733
202004,경원선,가능,108463,39266,102037,38583,147729,140620
202005,경원선,가능,121800,48982,114776,48251,170782,163027
202006,경원선,가능,129295,47710,121195,46897,177005,168092
202007,경원선,가능,133578,48542,124978,47729,182120,172707
202008,경원선,가능,112259,42355,106356,41754,154614,148110
202009,경원선,가능,110725,42804,105744,42265,153529,148009
202010,경원선,가능,126311,47886,118468,47378,174197,165846
202011,경원선,가능,124021,44959,117330,44355,168980,161685
202012,경원선,가능,105409,38437,102096,37875,143846,139971
202001,3호선,가락시장(3호선),208246,79798,204666,77842,288044,282508
202002,3호선,가락시장(3호선),172661,54995,169154,53437,227656,222591
202003,3호선,가락시장(3호선),143880,44555,140216,43508,188435,183724
202004,3호선,가락시장(3호선),151513,52206,148756,50803,203719,199559
202005,3호선,가락시장(3호선),165689,62230,162985,60750,227919,223735
202006,3호선,가락시장(3호선),177620,63130,174979,61521,240750,236500
202007,3호선,가락시장(3호선),190070,66393,186105,64383,256463,250488
202008,3호선,가락시장(3호선),153418,57323,149134,55822,210741,204956
202009,3호선,가락시장(3호선),145109,61059,143578,60012,206168,203590
202010,3호선,가락시장(3호선),164955,64704,164274,63363,229659,227637
202011,3호선,가락시장(3호선),171702,65255,170692,64728,236957,235420
202012,3호선,가락시장(3호선),140260,54242,138646,52490,194502,191136
202001,8호선,가락시장(8호선),176733,63638,207825,65870,240371,273695
202002,8호선,가락시장(8호선),150725,44070,174380,44880,194795,219260
202003,8호선,가락시장(8호선),129938,40354,151835,41602,170292,193437
202004,8호선,가락시장(8호선),135171,45761,158704,47135,180932,205839
202005,8호선,가락시장(8호선),143829,51293,167906,52917,195122,220823
202006,8호선,가락시장(8호선),151222,49524,177543,51240,200746,228783
202007,8호선,가락시장(8호선),160265,52880,187371,54433,213145,241804
202008,8호선,가락시장(8호선),132159,45043,152942,46557,177202,199499
202009,8호선,가락시장(8호선),130201,53367,150156,55918,183568,206074
202010,8호선,가락시장(8호선),145422,54338,170401,55770,199760,226171
202011,8호선,가락시장(8호선),151100,54015,175749,55666,205115,231415
202012,8호선,가락시장(8호선),130705,47117,150144,48061,177822,198205
