사용월,호선명,지하철역,유임승차인원,무임승차인원,유임하차인원,무임하차인원,승차인원,하차인원
202011,우이신설선,4.19민주묘지,47094,28318,46851,25855,75412,72706
202010,우이신설선,4.19민주묘지,45957,31491,44921,27925,77448,72846
202009,우이신설선,4.19민주묘지,37894,27137,37524,24332,65031,61856
202008,우이신설선,4.19민주묘지,38134,25599,37443,23839,63733,61282
202007,우이신설선,4.19민주묘지,46501,31358,45351,28504,77859,73855
202011,경원선,가능,124021,44959,117330,44355,168980,161685
202010,경원선,가능,126311,47886,118468,47378,174197,165846
202009,경원선,가능,110725,42804,105744,42265,153529,148009
202008,경원선,가능,112259,42355,106356,41754,154614,148110
202007,경원선,가능,133578,48542,124978,47729,182120,172707
202011,3호선,가락시장,171702,65255,170692,64728,236957,235420
202010,3호선,가락시장,164955,64704,164274,63363,229659,227637
202009,3호선,가락시장,145109,61059,143578,60012,206168,203590
202008,3호선,가락시장,153418,57323,149134,55822,210741,204956
202007,3호선,가락시장,190070,66393,186105,64383,256463,250488
202011,8호선,가락시장(8호선),151100,54015,175749,55666,205115,231415
202010,8호선,가락시장(8호선),145422,54338,170401,55770,199760,226171
202009,8호선,가락시장(8호선),130201,53367,150156,55918,183568,206074
202008,8호선,가락시장(8호선),132159,45043,152942,46557,177202,199499
202007,8호선,가락시장(8호선),160265,52880,187371,54433,213145,241804
202011,경부선,가산디지털단지(경부선),398476,28226,478958,31513,426702,510471
202010,경부선,가산디지털단지(경부선),378906,28215,457559,31232,407121,488791
202009,경부선,가산디지털단지(경부선),345466,24941,412293,27096,370407,439389
202008,경부선,가산디지털단지(경부선),344095,24017,409202,26836,368112,436038
202007,경부선,가산디지털단지(경부선),426257,28865,501118,32268,455122,533386
202011,7호선,가산디지털단지(7호선),1040049,74878,1042589,71209,1114927,1113798
202010,7호선,가산디지털단지(7호선),972651,71857,976959,68360,1044508,1045319
202009,7호선,가산디지털단지(7호선),903567,64811,907667,61662,968378,969329
202008,7호선,가산디지털단지(7호선),900351,63870,906263,60076,964221,966339
202007,7호선,가산디지털단지(7호선),1092353,75745,1102697,71659,1168098,1174356
202011,9호선,가양,417077,103818,405307,101409,520895,506716
202010,9호선,가양,404031,105620,391342,102517,509651,493859
202009,9호선,가양,353358,92444,342966,90135,445802,433101
202008,9호선,가양,383522,95192,369427,93010,478714,462437
202007,9호선,가양,451203,108797,432818,106222,560000,539040
202011,우이신설선,가오리,64978,37677,61576,38992,102655,100568
202010,우이신설선,가오리,64150,38391,59478,39041,102541,98519
202009,우이신설선,가오리,56883,32940,54748,34259,89823,89007
202008,우이신설선,가오리,58535,33453,54887,34758,91988,89645
202007,우이신설선,가오리,70459,39060,65365,40383,109519,105748
202011,경의선,가좌,103001,36505,92265,35668,139506,127933
202010,경의선,가좌,99031,37965,89793,37211,136996,127004
202009,경의선,가좌,85280,32454,77049,32212,117734,109261
202008,경의선,가좌,90809,32490,81512,32340,123299,113852
202007,경의선,가좌,108434,38997,96835,38313,147431,135148
202011,분당선,가천대,188497,21721,213739,22649,210218,236388
202010,분당선,가천대,194814,21442,216388,22637,216256,239025
202009,분당선,가천대,132047,18858,151575,19891,150905,171466
202008,분당선,가천대,123260,19050,145674,20226,142310,165900
202007,분당선,가천대,175799,21984,198468,23270,197783,221738
202011,경춘선,가평,33860,11656,34227,11507,45516,45734
202010,경춘선,가평,43523,17900,42941,17682,61423,60623
202009,경춘선,가평,27566,11115,28816,11020,38681,39836
202008,경춘선,가평,46124,9992,46492,9766,56116,56258
202007,경춘선,가평,59884,13875,62019,13592,73759,75611
202011,경인선,간석,115352,35384,108951,34056,150736,143007
202010,경인선,간석,115111,36689,108387,34975,151800,143362
202009,경인선,간석,99559,31915,95216,30735,131474,125951
202008,경인선,간석,104600,32044,99687,30728,136644,130415
202007,경인선,간석,125774,36999,118979,35407,162773,154386
202011,경춘선,갈매,61603,16110,51230,15302,77713,66532
202010,경춘선,갈매,60401,16475,50747,15806,76876,66553
202009,경춘선,갈매,51425,14303,43591,13601,65728,57192
202008,경춘선,갈매,52135,13625,44292,13187,65760,57479
202007,경춘선,갈매,63882,16821,53381,16151,80703,69532
202011,2호선,강남,2019373,144790,2046712,129444,2164163,2176156
202010,2호선,강남,1940463,139031,1989674,124122,2079494,2113796
202009,2호선,강남,1565184,120841,1575148,106900,1686025,1682048
202008,2호선,강남,1926255,129625,1962805,115438,2055880,2078243
202007,2호선,강남,2402912,156106,2460256,138149,2559018,2598405
202011,분당선,강남구청(분당선),202028,31453,236851,33895,233481,270746
202010,분당선,강남구청(분당선),190758,30675,224646,33573,221433,258219
202009,분당선,강남구청(분당선),167042,26164,195667,28666,193206,224333
202008,분당선,강남구청(분당선),178966,27484,208650,29311,206450,237961
202007,분당선,강남구청(분당선),218115,32979,255747,35608,251094,291355
202011,7호선,강남구청(7호선),356949,39177,401615,39446,396126,441061
202010,7호선,강남구청(7호선),338837,38055,385939,38225,376892,424164
202009,7호선,강남구청(7호선),310411,33394,347829,33299,343805,381128
202008,7호선,강남구청(7호선),319926,33650,363686,34286,353576,397972
202007,7호선,강남구청(7호선),379402,40895,432660,40923,420297,473583
202011,5호선,강동,423052,84124,393631,79205,507176,472836
202010,5호선,강동,402699,83799,371268,79436,486498,450704
202009,5호선,강동,357668,70729,327282,67326,428397,394608
202008,5호선,강동,389017,76288,348676,71775,465305,420451
202007,5호선,강동,493546,92208,425812,85751,585754,511563
202011,8호선,강동구청,212072,51641,219890,52240,263713,272130
202010,8호선,강동구청,203332,51022,209657,51568,254354,261225
202009,8호선,강동구청,181807,44191,190380,44841,225998,235221
202008,8호선,강동구청,190566,45331,198670,45661,235897,244331
202007,8호선,강동구청,228052,53521,237229,54452,281573,291681
202011,경의선,강매,63358,14634,52804,14076,77992,66880
202010,경의선,강매,62380,15494,52019,14820,77874,66839
202009,경의선,강매,53319,13407,44449,12801,66726,57250
202008,경의선,강매,53809,12508,44708,12109,66317,56817
202007,경의선,강매,66238,15162,54451,14502,81400,68953
202011,2호선,강변(동서울터미널),755109,98010,757373,96939,853119,854312
202010,2호선,강변(동서울터미널),769026,102892,743680,101860,871918,845540
202009,2호선,강변(동서울터미널),611091,81944,625203,80915,693035,706118
202008,2호선,강변(동서울터미널),720750,89040,721532,87252,809790,808784
202007,2호선,강변(동서울터미널),860119,105763,857117,103150,965882,960267
202011,경춘선,강촌,10030,3831,9671,3969,13861,13640
202010,경춘선,강촌,13982,6218,12527,6404,20200,18931
202009,경춘선,강촌,7867,4272,7568,4409,12139,11977
202008,경춘선,강촌,10328,3556,8892,3716,13884,12608
202007,경춘선,강촌,13572,5114,11762,5337,18686,17099
202011,5호선,개롱,129824,37267,135090,38757,167091,173847
202010,5호선,개롱,127046,36395,130286,37782,163441,168068
202009,5호선,개롱,107500,30562,111978,31863,138062,143841
202008,5호선,개롱,115749,32479,121588,33664,148228,155252
202007,5호선,개롱,139339,37418,143369,38165,176757,181534
202011,경인선,개봉,449075,126593,452220,132517,575668,584737
202010,경인선,개봉,445218,129378,442399,135055,574596,577454
202009,경인선,개봉,386419,111138,390711,116276,497557,506987
202008,경인선,개봉,401194,111449,399731,116185,512643,515916
202007,경인선,개봉,474278,130202,471400,135681,604480,607081
202011,분당선,개포동,76589,19052,78006,19150,95641,97156
202010,분당선,개포동,71998,17855,73055,18037,89853,91092
202009,분당선,개포동,58788,14351,61232,14449,73139,75681
202008,분당선,개포동,65459,15668,68298,16108,81127,84406
202007,분당선,개포동,81372,19536,83900,19985,100908,103885
202011,9호선,개화,54710,11014,39148,9065,65724,48213
202010,9호선,개화,53777,12633,39310,10710,66410,50020
202009,9호선,개화,48262,10524,35542,8942,58786,44484
202008,9호선,개화,48491,10627,35642,9041,59118,44683
202007,9호선,개화,55626,12463,40251,10432,68089,50683
